Teams,Abv,Over/Under,A,G,L,M,N,538,A Bets,G Bets,L Bets,M Bets,N Bets,538 Bets
Hawks,ATL,46.5,U,O,U,O,O,O,10,10,20,10,50,20
Celtics,BOS,45.5,O,U,U,O,O,O,20,20,20,30,10,20
Nets,BRK,56.5,O,U,U,U,U,U,20,30,20,10,10,20
Hornets,CHA,38.5,O,O,O,U,O,U,20,20,20,10,50,20
Bulls,CHI,42.5,U,U,O,U,O,U,30,10,20,40,10,20
Cavaliers,CLE,26.5,O,U,U,U,U,U,20,20,20,10,10,20
Mavericks,DAL,48.5,U,O,U,O,O,O,20,10,20,20,50,20
Nuggets,DEN,47.5,O,O,O,O,U,O,20,30,20,10,10,20
Pistons,DET,24.5,U,U,O,U,U,U,10,10,20,10,10,20
Warriors,GSW,48.5,U,U,U,U,O,U,10,20,20,10,50,20
Rockets,HOU,27.5,U,U,O,U,O,U,20,20,20,30,10,20
Pacers,IND,42.5,U,O,O,O,U,O,20,10,20,10,10,20
Clippers,LAC,45.5,U,U,O,O,U,O,10,20,20,10,10,20
Lakers,LAL,52.5,O,O,O,U,U,U,50,10,20,10,10,20
Grizzlies,MEM,41.5,O,O,O,O,O,O,30,50,20,30,10,20
Heat,MIA,48.5,U,U,U,O,O,U,20,30,20,30,50,20
Bucks,MIL,54.5,U,U,U,O,U,O,10,30,20,30,10,20
Timberwolves,MIN,34.5,U,O,U,U,U,O,10,20,20,10,30,20
Pelicans,NOP,39.5,U,O,O,U,U,O,50,20,20,30,50,20
Knicks,NYK,41.5,O,O,O,O,O,O,50,30,20,30,10,20
Thunder,OKC,23.5,U,O,O,U,U,U,10,10,20,10,10,20
Magic,ORL,22.5,U,O,U,U,U,O,10,10,20,10,10,20
76ers,PHI,50.5,U,O,U,O,O,O,10,30,20,10,10,20
Suns,PHX,51.5,O,O,O,O,O,O,20,20,20,10,10,20
Trail Blazers,POR,44.5,U,O,O,U,U,O,10,10,20,40,10,20
Kings,SAC,36.5,U,U,O,U,U,U,10,10,20,30,10,20
Spurs,SAS,28.5,O,O,U,O,U,O,20,20,20,40,10,20
Raptors,TOR,35.5,U,O,O,O,O,O,10,20,20,10,10,20
Jazz,UTA,51.5,O,O,O,U,O,O,30,20,20,10,50,20
Wizards,WAS,33.5,O,U,U,O,U,O,20,30,20,50,10,20
,,,,,,,,,600,600,600,600,600,600
